CustomerID,Age,Gender,Marital Status,Education Level,Occupation,Income Level,Interactions with Customer Service,Customer Preferences,Preferred Contact Time,Preferred Language
12346,51,Male,Divorced,Master's Degree,Engineer,94240,In-Person,Phone,Anytime,German
12347,68,Female,Separated,Master's Degree,Entrepreneur,144755,Email,Text,Anytime,English
12348,47,Male,Married,Doctorate,Nurse,25296,Chat,In-Person Meeting,Afternoon,German
12350,20,Male,Separated,Bachelor's Degree,Nurse,36374,Mobile App,Text,Anytime,Spanish
12356,57,Male,Widowed,Associate Degree,Nurse,34689,Chat,Email,Anytime,Mandarin
12359,70,Female,Separated,High School Diploma,Artist,119339,Chat,In-Person Meeting,Morning,Spanish
12370,63,Male,Widowed,Associate Degree,Artist,55266,Chat,Phone,Evening,French
12373,62,Male,Single,Bachelor's Degree,Engineer,37980,In-Person,Text,Weekends,Spanish
12377,63,Male,Married,Associate Degree,Nurse,147321,Chat,Email,Morning,German
12383,68,Male,Separated,Master's Degree,Lawyer,129768,Chat,Mail,Morning,French
12386,51,Male,Widowed,Bachelor's Degree,Doctor,122988,In-Person,Phone,Weekends,French
12388,30,Male,Married,Master's Degree,Entrepreneur,33299,Mobile App,Phone,Afternoon,Mandarin
12393,27,Male,Divorced,Master's Degree,Entrepreneur,83411,In-Person,Mail,Weekends,Spanish
12395,39,Female,Widowed,High School Diploma,Salesperson,78823,Mobile App,In-Person Meeting,Weekends,German
12402,23,Male,Divorced,High School Diploma,Artist,83859,Email,Phone,Weekends,German
12410,34,Male,Widowed,Associate Degree,Salesperson,131355,Chat,In-Person Meeting,Morning,French
12413,53,Male,Married,Doctorate,Nurse,115670,Mobile App,Email,Morning,Mandarin
12414,54,Female,Married,Master's Degree,Entrepreneur,23293,In-Person,Mail,Weekends,Spanish
12415,56,Male,Single,High School Diploma,Doctor,123095,Chat,Mail,Morning,Mandarin
12417,62,Male,Married,High School Diploma,Salesperson,88037,Phone,Email,Evening,French
12421,68,Male,Single,Associate Degree,Teacher,58603,Chat,Email,Afternoon,English
12422,33,Male,Widowed,Master's Degree,Teacher,94471,Chat,In-Person Meeting,Morning,German
12423,34,Female,Married,High School Diploma,Doctor,60674,Phone,Text,Evening,Mandarin
12427,26,Female,Married,Associate Degree,Nurse,43205,Chat,Mail,Evening,Spanish
12429,36,Male,Widowed,High School Diploma,Entrepreneur,96311,In-Person,Phone,Afternoon,Spanish
12431,53,Male,Single,Bachelor's Degree,Engineer,29783,Chat,In-Person Meeting,Afternoon,Spanish
