Date,Landing page,Session source_medium,Sessions,Average session duration,Engagement rate
20241220,/us/landing_page_1,(direct) / (none),264,16.1113986,0.109848485
20241208,/us/landing_page_1, email,190,23.40342242,1
20241211,/us/landing_page_1, email,187,17.38169155,0.967914439
20241217,/us/landing_page_1, email,184,21.7499027,0.983695652
20241210,/us/landing_page_1, email,182,15.42817827,1
20241201,/us/landing_page_1, email,177,18.25990785,0.994350282
20241108,/us/landing_page_1,social / instagram,174,3.538571517,0
20241024,/us/landing_page_1,bing / cpc,169,63.06821582,0.289940828
20241108,/us/landing_page_1,social / instagram,163,3.473338663,0
20241108,/us/landing_page_1,social / instagram,162,3.653154012,0
20241105,/us/landing_page_1,(direct) / (none),159,4.030817409,0
20241220,/us/landing_page_1, email,156,12.83021281,1
20241218,/us/landing_page_1, email,152,14.36033175,0.986842105
20241028,/us/landing_page_1,bing / cpc,150,82.44299683,0.413333333
20241219,/us/landing_page_1, email,150,11.72411977,0.98
20241108,/us/landing_page_1,social / instagram,149,6.462974671,0.006711409
20241108,/us/landing_page_1,social / instagram,148,3.318419919,0
20241023,/us/landing_page_1,google / organic,140,77.74289461,0.628571429
20241216,/us/landing_page_1, email,139,25.87567147,0.64028777
20241027,/us/landing_page_1,bing / cpc,137,71.34690831,0.386861314
20241211,/us/landing_page_1,google / organic,137,339.0204514,0.744525547
20241212,/us/landing_page_1,google / organic,137,461.5935871,0.744525547
20241119,/us/landing_page_1,google / organic,135,526.2960589,0.637037037
20241108,/us/landing_page_1,social / instagram,133,3.685271188,0
20241108,/us/landing_page_1,social / instagram,133,6.754242699,0.007518797
20241127,/us/landing_page_1, email,133,18.24223896,1
20241129,/us/landing_page_1, email,130,13.78096498,1
20241101,/us/landing_page_1,bing / cpc,128,411.7708567,0.4140625
20250116,/us/landing_page_1,google / organic,128,314.7484125,0.765625
20241207,/us/landing_page_1, email,127,14.96721498,1
20241025,/us/landing_page_1,bing / cpc,125,28.13186405,0.32
20250115,/us/landing_page_1,google / organic,125,208.2161886,0.632
20241029,/us/landing_page_1,google / organic,123,149.6827403,0.601626016
20241212,/us/landing_page_1, email,123,18.61314636,1
20241026,/us/landing_page_1,bing / cpc,122,491.6324725,0.401639344
20241108,/us/landing_page_1,(direct) / (none),122,46.54723012,0.254098361
20241105,/us/landing_page_1,(direct) / (none),120,3.812037392,0.066666667
20241021,/us/landing_page_1,bing / cpc,118,45.34637727,0.305084746
20250113,/us/landing_page_1,google / organic,116,218.308114,0.706896552
20241114,/us/landing_page_1,google / organic,115,148.1689324,0.747826087
20241022,/us/landing_page_1,bing / cpc,114,33.90004413,0.350877193
20241111,/us/landing_page_1,google / organic,113,93.84082719,0.690265487
20241021,/us/landing_page_1,google / organic,112,70.21905616,0.571428571
20241022,/us/landing_page_1,google / organic,112,122.0144518,0.535714286
20241117,/us/landing_page_1,google / organic,111,74.10622751,0.666666667
20241120,/us/landing_page_1,google / organic,111,243.4084675,0.693693694
20241121,/us/landing_page_1,google / organic,111,262.3658993,0.693693694
20241206,/us/landing_page_1,(direct) / (none),111,10.06775822,0.117117117
20250114,/us/landing_page_1,google / organic,111,200.0511297,0.657657658
20241110,/us/landing_page_1,google / organic,109,123.9557408,0.697247706
20241203,/us/landing_page_1, email,108,18.66104171,1
20241119,/us/landing_page_1,google / organic,106,131.2841588,0.698113208
20241110,/us/landing_page_1,bing / cpc,105,41.37997626,0.361904762
20241117,/us/landing_page_1,(direct) / (none),104,36.76560012,0.865384615
20241102,/us/landing_page_1,google / organic,103,147.0303462,0.631067961
